¿ªÊ¼Óï·¨·ÖÎö: 
Õ»                  ÊäÈë´®                                                                                              ¶¯×÷                          
# A } F } P N ) K' KA' KB' KC' KD' KE'        > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P N ) K' KA' KB' KC' KD' ¦Å        > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K' KA' KB' KC' KD'        > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> > KE 
# A } F } P N ) K' KA' KB' KC' KE >        > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä >
# A } F } P N ) K' KA' KB' KC' KE        30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F } P N ) K' KA' KB' KC' KE' O        30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P N ) K' KA' KB' KC' KE' O' Q        30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> NUM Q' 
# A } F } P N ) K' KA' KB' KC' KE' O' Q' NUM        30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        NUM -> 30 
# A } F } P N ) K' KA' KB' KC' KE' O' Q' 30        30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä 30
# A } F } P N ) K' KA' KB' KC' KE' O' Q'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q' -> ¦Å 
# A } F } P N ) K' KA' KB' KC' KE' O' ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K' KA' KB' KC' KE' O'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P N ) K' KA' KB' KC' KE' ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K' KA' KB' KC' KE'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P N ) K' KA' KB' KC' ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K' KA' KB' KC'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
# A } F } P N ) K' KA' KB' ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K' KA' KB'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F } P N ) K' KA' ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K' KA'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F } P N ) K' ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N ) K'        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F } P N ) ¦Å        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N )        ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä )
# A } F } P N        { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        N -> { P } 
# A } F } P } P {        { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F } P } P        a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P } P R        a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        R -> S 
# A } F } P } P S        a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S -> ID S' 
# A } F } P } P S' ID        a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
# A } F } P } P S' a        a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F } P } P S'        = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S' -> = K ; 
# A } F } P } P ; K =        = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä =
# A } F } P } P ; K        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K -> KA K' 
# A } F } P } P ; K' KA        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA -> KB KA' 
# A } F } P } P ; K' KA' KB        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB -> KC KB' 
# A } F } P } P ; K' KA' KB' KC        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC -> KD KC' 
# A } F } P } P ; K' KA' KB' KC' KD        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD -> KE KD' 
# A } F } P } P ; K' KA' KB' KC' KD' KE        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' Q        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' ID        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' a        a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F } P } P ; K' KA' KB' KC' KD' KE' O'        - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' KE' ¦Å        - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' KE'        - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> - O KE' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O -        - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä -
# A } F } P } P ; K' KA' KB' KC' KD' KE' O        b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' Q        b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' ID        b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> b 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' b        b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä b
# A } F } P } P ; K' KA' KB' KC' KD' KE' O'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' KE' ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' KE'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
# A } F } P } P ; K' KA' KB' ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F } P } P ; K' KA' ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F } P } P ; K' ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K'        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F } P } P ; ¦Å        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ;        ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F } P } P        } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> ¦Å 
# A } F } P } ¦Å        } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P }        } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä }
# A } F } P        } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> ¦Å 
# A } F } ¦Å        } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F }        } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä }
# A } F        } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        F -> ¦Å 
# A } ¦Å        } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A }        } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä }
# A        public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        A -> B A 
# A B        public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        B -> L class ID D 
# A D ID class L        public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        L -> public 
# A D ID class public        public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä public
# A D ID class        class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä class
# A D ID        test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> test 
# A D test        test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä test
# A D        { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        D -> { F } 
# A } F {        { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F        public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        F -> I F 
# A } F I        public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        I -> L J I' 
# A } F I' J L        public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        L -> public 
# A } F I' J public        public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä public
# A } F I' J        void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        J -> void 
# A } F I' void        void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä void
# A } F I'        main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        I' -> main ( String [ ] ID ) N 
# A } F N ) ID ] [ String ( main        main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä main
# A } F N ) ID ] [ String (        ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä (
# A } F N ) ID ] [ String        String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä String
# A } F N ) ID ] [        [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä [
# A } F N ) ID ]        ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ]
# A } F N ) ID        args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> args 
# A } F N ) args        args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä args
# A } F N )        ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä )
# A } F N        { example e = new example ( ) ; e . fun ( ) ; } } #        N -> { P } 
# A } F } P {        { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F } P        example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P R        example e = new example ( ) ; e . fun ( ) ; } } #        R -> S 
# A } F } P S        example e = new example ( ) ; e . fun ( ) ; } } #        S -> ID S' 
# A } F } P S' ID        example e = new example ( ) ; e . fun ( ) ; } } #        ID -> example 
# A } F } P S' example        example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä example
# A } F } P S'        e = new example ( ) ; e . fun ( ) ; } } #        S' -> Y 
# A } F } P Y        e = new example ( ) ; e . fun ( ) ; } } #        Y -> ID = new ID ( ) ; 
# A } F } P ; ) ( ID new = ID        e = new example ( ) ; e . fun ( ) ; } } #        ID -> e 
# A } F } P ; ) ( ID new = e        e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä e
# A } F } P ; ) ( ID new =        = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä =
# A } F } P ; ) ( ID new        new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä new
# A } F } P ; ) ( ID        example ( ) ; e . fun ( ) ; } } #        ID -> example 
# A } F } P ; ) ( example        example ( ) ; e . fun ( ) ; } } #        Æ¥Åä example
# A } F } P ; ) (        ( ) ; e . fun ( ) ; } } #        Æ¥Åä (
# A } F } P ; )        ) ; e . fun ( ) ; } } #        Æ¥Åä )
# A } F } P ;        ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F } P        e . fun ( ) ; } } #        P -> R P 
# A } F } P R        e . fun ( ) ; } } #        R -> S 
# A } F } P S        e . fun ( ) ; } } #        S -> ID S' 
# A } F } P S' ID        e . fun ( ) ; } } #        ID -> e 
# A } F } P S' e        e . fun ( ) ; } } #        Æ¥Åä e
# A } F } P S'        . fun ( ) ; } } #        S' -> X 
# A } F } P X        . fun ( ) ; } } #        X -> . ID ( M ) ; 
# A } F } P ; ) M ( ID .        . fun ( ) ; } } #        Æ¥Åä .
# A } F } P ; ) M ( ID        fun ( ) ; } } #        ID -> fun 
# A } F } P ; ) M ( fun        fun ( ) ; } } #        Æ¥Åä fun
# A } F } P ; ) M (        ( ) ; } } #        Æ¥Åä (
# A } F } P ; ) M        ) ; } } #        M -> ¦Å 
# A } F } P ; ) ¦Å        ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P ; )        ) ; } } #        Æ¥Åä )
# A } F } P ;        ; } } #        Æ¥Åä ;
# A } F } P        } } #        P -> ¦Å 
# A } F } ¦Å        } } #        ÒÆ³ö ¦Å 
# A } F }        } } #        Æ¥Åä }
# A } F        } #        F -> ¦Å 
# A } ¦Å        } #        ÒÆ³ö ¦Å 
# A }        } #        Æ¥Åä }
# A        #        A -> ¦Å 
# ¦Å        #        ÒÆ³ö ¦Å 
#      #       Í¨¹ý
Óï·¨·ÖÎö³É¹¦½áÊø¡£
